Column1,Gender,EthnicGroup,ParentEduc,LaunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
141,male,group B,high school,standard,completed,married,sometimes,no,1,school_bus,> 10,75,70,69
142,male,group A,associate's degree,standard,completed,married,sometimes,no,3,school_bus,> 10,99,93,87
143,female,group D,associate's degree,standard,none,single,regularly,no,2,private,> 10,86,97,93
144,male,group C,high school,standard,completed,divorced,regularly,yes,2,private,< 5,71,66,64
145,female,group C,high school,free/reduced,none,married,regularly,no,5,school_bus,< 5,61,66,64
146,male,group C,master's degree,standard,none,married,sometimes,yes,1,school_bus,< 5,77,72,69
147,male,group E,associate's degree,standard,none,divorced,regularly,yes,1,private,> 10,56,46,41
148,female,group B,associate's degree,free/reduced,none,single,sometimes,no,2,school_bus,< 5,51,68,68
149,male,group D,High School,standard,none,married,sometimes,yes,2,school_bus,> 10,75,66,63
150,female,group C,bachelor's degree,standard,none,single,regularly,yes,3,school_bus,> 10,66,76,77
151,male,group C,bachelor's degree,standard,completed,married,regularly,no,2,school_bus,< 5,95,89,92
152,male,group B,associate's degree,standard,none,divorced,sometimes,no,2,school_bus,< 5,46,42,44
153,male,group B,high school,free/reduced,none,married,regularly,yes,6,private,< 5,62,47,47
154,female,group B,high school,standard,none,married,sometimes,yes,1,school_bus,< 5,78,89,87
155,female,group B,bachelor's degree,free/reduced,completed,single,sometimes,no,1,school_bus,> 10,49,56,59
156,female,group D,master's degree,standard,none,married,regularly,no,3,school_bus,< 5,52,60,68
157,female,group D,High School,standard,none,married,sometimes,no,2,school_bus,< 5,78,95,94
158,female,group C,bachelor's degree,free/reduced,none,married,regularly,yes,1,school_bus,< 5,43,62,62
159,male,group C,bachelor's degree,free/reduced,none,widowed,sometimes,no,3,private,< 5,56,56,52
160,female,group C,bachelor's degree,standard,completed,married,sometimes,yes,1,school_bus,> 10,57,80,73
161,female,group D,high school,standard,none,married,sometimes,yes,4,school_bus,> 10,71,78,74
162,male,group C,High School,standard,none,divorced,sometimes,yes,3,private,< 5,72,70,60
163,female,group B,associate's degree,standard,none,married,regularly,no,1,school_bus,< 5,57,62,65
164,female,group C,bachelor's degree,standard,none,married,sometimes,yes,3,school_bus,< 5,56,58,64
165,male,group C,bachelor's degree,standard,completed,married,sometimes,yes,0,private,< 5,91,88,89
166,female,group C,high school,free/reduced,none,single,sometimes,yes,2,school_bus,> 10,36,61,55
167,male,group C,high school,free/reduced,completed,married,sometimes,yes,2,private,> 10,59,51,53
168,female,group B,bachelor's degree,standard,completed,married,sometimes,yes,2,school_bus,> 10,67,75,82
169,male,group D,high school,standard,none,single,sometimes,no,3,school_bus,> 10,42,52,52
170,female,group B,High School,free/reduced,none,married,never,yes,2,private,< 5,67,78,75
171,male,group B,high school,standard,none,single,sometimes,yes,1,school_bus,< 5,67,64,58
172,female,group D,bachelor's degree,standard,completed,married,sometimes,yes,2,school_bus,< 5,82,84,96
173,male,group C,associate's degree,free/reduced,none,married,sometimes,no,5,school_bus,> 10,79,68,65
174,male,group D,High School,standard,none,married,sometimes,no,1,school_bus,> 10,71,66,62
175,female,group D,bachelor's degree,free/reduced,none,divorced,regularly,yes,2,private,< 5,54,70,69
176,female,group B,bachelor's degree,free/reduced,none,married,sometimes,no,4,school_bus,< 5,74,83,85
177,female,group C,high school,free/reduced,none,married,never,no,2,school_bus,< 5,62,73,64
178,male,group D,associate's degree,free/reduced,none,married,sometimes,yes,0,school_bus,< 5,50,56,49
179,female,group D,high school,standard,none,divorced,regularly,yes,6,school_bus,< 5,66,71,74
180,female,group E,master's degree,standard,completed,single,sometimes,yes,2,school_bus,> 10,97,100,100
181,female,group E,associate's degree,free/reduced,none,married,sometimes,no,1,private,< 5,70,74,76
182,female,group B,High School,free/reduced,completed,married,sometimes,yes,3,school_bus,< 5,57,62,62
183,male,group D,high school,standard,none,married,never,yes,2,school_bus,< 5,83,84,75
184,male,group D,master's degree,standard,none,divorced,sometimes,no,1,school_bus,< 5,79,81,84
185,female,group B,High School,standard,completed,married,regularly,no,1,school_bus,> 10,63,72,77
186,female,group B,associate's degree,free/reduced,completed,married,regularly,yes,0,private,< 5,75,93,87
187,male,group B,bachelor's degree,standard,none,divorced,sometimes,yes,4,school_bus,> 10,48,43,41
188,female,group D,high school,free/reduced,none,single,sometimes,yes,1,private,< 5,70,90,82
189,male,group C,bachelor's degree,standard,none,single,regularly,no,3,private,< 5,52,38,37
190,female,group B,associate's degree,free/reduced,completed,divorced,sometimes,yes,5,private,< 5,65,75,78
191,female,group C,bachelor's degree,standard,completed,married,never,yes,2,private,> 10,86,88,93
192,female,group E,bachelor's degree,free/reduced,none,married,never,yes,1,school_bus,> 10,52,57,56
193,female,group E,associate's degree,standard,none,married,sometimes,yes,4,school_bus,> 10,86,96,93
194,male,group D,bachelor's degree,standard,none,married,sometimes,no,2,private,> 10,56,58,53
195,female,group D,High School,standard,none,married,never,yes,1,private,> 10,67,70,74
196,male,group D,bachelor's degree,standard,none,married,regularly,yes,3,school_bus,> 10,79,75,77
197,female,group B,High School,free/reduced,completed,married,never,yes,0,school_bus,< 5,48,65,68
198,female,group B,High School,free/reduced,none,married,regularly,yes,4,private,< 5,48,57,55
199,female,group B,master's degree,standard,none,married,sometimes,yes,1,school_bus,< 5,75,90,84
200,male,group C,bachelor's degree,standard,completed,married,sometimes,no,3,school_bus,< 5,88,79,77
201,female,group B,bachelor's degree,standard,none,single,regularly,no,4,private,< 5,18,37,32
202,male,group D,high school,free/reduced,none,married,regularly,yes,0,school_bus,< 5,65,73,69
203,male,group E,High School,standard,completed,married,never,no,1,private,< 5,83,81,73
204,female,group D,bachelor's degree,free/reduced,none,single,sometimes,yes,2,school_bus,< 5,62,72,73
205,male,group A,high school,free/reduced,none,single,sometimes,yes,1,school_bus,> 10,46,47,49
206,female,group C,master's degree,standard,completed,married,regularly,yes,3,school_bus,< 5,53,63,67
207,male,group E,High School,standard,completed,married,sometimes,yes,2,school_bus,> 10,89,85,77
208,female,group C,High School,standard,none,married,sometimes,no,3,private,< 5,74,89,86
209,female,group C,High School,free/reduced,none,widowed,sometimes,no,3,private,> 10,49,58,53
210,male,group B,High School,standard,none,married,regularly,yes,0,school_bus,< 5,67,53,53
211,female,group A,bachelor's degree,free/reduced,none,single,regularly,yes,3,school_bus,> 10,64,61,59
212,male,group A,bachelor's degree,standard,none,divorced,never,yes,1,school_bus,> 10,63,59,57
213,male,group E,high school,standard,none,single,regularly,no,3,private,> 10,77,65,59
214,female,group A,high school,standard,completed,married,regularly,yes,6,school_bus,> 10,79,84,82
215,male,group B,associate's degree,free/reduced,completed,divorced,regularly,yes,1,school_bus,< 5,57,56,53
216,female,group B,high school,free/reduced,completed,married,sometimes,no,2,private,> 10,23,44,36
217,male,group B,bachelor's degree,free/reduced,completed,single,sometimes,yes,2,school_bus,> 10,76,78,77
218,female,group D,High School,free/reduced,completed,single,regularly,yes,0,school_bus,< 5,39,64,64
219,male,group E,master's degree,standard,none,divorced,sometimes,yes,1,private,< 5,88,85,84
220,female,group A,high school,standard,none,married,sometimes,yes,3,private,< 5,59,66,61
221,male,group E,High School,standard,none,married,never,no,2,private,< 5,77,65,58
222,female,group B,bachelor's degree,standard,none,married,regularly,yes,0,private,< 5,96,96,96
223,female,group E,master's degree,free/reduced,none,married,sometimes,yes,4,school_bus,> 10,83,87,88
224,male,group D,bachelor's degree,free/reduced,completed,single,sometimes,no,2,private,< 5,37,41,37
225,female,group C,bachelor's degree,standard,completed,single,regularly,yes,1,private,< 5,70,70,80
226,male,group E,associate's degree,free/reduced,completed,married,sometimes,yes,3,school_bus,> 10,80,75,73
227,male,group E,associate's degree,free/reduced,none,married,never,yes,1,school_bus,< 5,84,87,78
228,female,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,3,private,< 5,41,61,59
229,male,group C,bachelor's degree,standard,completed,married,sometimes,yes,3,school_bus,< 5,61,63,64
230,female,group E,bachelor's degree,standard,completed,single,regularly,no,3,school_bus,< 5,70,69,70
231,female,group B,high school,free/reduced,none,married,regularly,yes,5,private,> 10,67,75,74
232,male,group D,bachelor's degree,free/reduced,none,married,sometimes,yes,1,school_bus,> 10,56,46,44
233,male,group D,high school,free/reduced,none,divorced,sometimes,no,3,school_bus,< 5,42,50,47
234,male,group D,High School,standard,completed,divorced,sometimes,yes,0,private,> 10,90,75,76
235,female,group E,associate's degree,standard,none,divorced,never,yes,3,school_bus,< 5,55,60,65
236,female,group B,High School,free/reduced,completed,single,regularly,yes,3,private,< 5,62,77,79
237,female,group C,bachelor's degree,free/reduced,completed,single,regularly,yes,2,school_bus,< 5,46,61,66
238,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,2,school_bus,> 10,47,61,56
239,female,group C,high school,standard,none,married,regularly,yes,1,private,< 5,43,60,52
240,male,group D,high school,standard,none,married,regularly,no,1,school_bus,< 5,71,65,66
241,female,group D,high school,free/reduced,completed,married,sometimes,yes,1,school_bus,> 10,66,61,72
242,male,group C,associate's degree,standard,completed,married,sometimes,no,2,school_bus,> 10,100,88,91
243,female,group E,high school,free/reduced,none,married,regularly,yes,1,private,< 5,56,57,57
244,male,group C,high school,standard,none,married,regularly,yes,0,private,< 5,80,65,64
245,female,group B,high school,standard,none,married,sometimes,yes,3,private,< 5,56,66,59
246,male,group B,high school,standard,none,married,sometimes,yes,3,private,< 5,79,80,78
247,female,group D,bachelor's degree,free/reduced,none,married,sometimes,yes,1,private,< 5,47,57,58
248,male,group B,High School,free/reduced,completed,single,regularly,no,1,school_bus,< 5,48,49,52
249,male,group E,associate's degree,standard,none,married,regularly,no,5,school_bus,> 10,76,58,64
250,female,group D,high school,standard,none,divorced,regularly,yes,1,school_bus,< 5,44,62,59
251,male,group C,bachelor's degree,standard,none,married,never,yes,4,school_bus,< 5,59,61,57
252,male,group C,High School,standard,completed,single,regularly,yes,2,school_bus,> 10,82,74,72
253,male,group C,associate's degree,standard,none,married,sometimes,yes,1,school_bus,< 5,60,64,56
254,male,group D,high school,standard,completed,married,regularly,yes,5,private,< 5,54,40,48
255,male,group A,high school,standard,none,married,regularly,no,1,private,< 5,56,50,54
256,male,group A,high school,standard,none,married,regularly,no,7,school_bus,> 10,66,64,64
257,male,group C,high school,free/reduced,none,single,regularly,yes,2,school_bus,< 5,61,54,55
258,female,group D,bachelor's degree,free/reduced,none,married,regularly,yes,1,school_bus,> 10,81,88,89
259,female,group C,bachelor's degree,standard,completed,single,sometimes,yes,1,school_bus,< 5,88,96,98
260,female,group E,High School,free/reduced,none,divorced,regularly,no,1,private,< 5,74,86,81
261,female,group E,High School,free/reduced,none,married,sometimes,no,2,school_bus,> 10,72,63,62
262,male,group B,associate's degree,standard,none,married,never,yes,3,school_bus,< 5,59,61,52
263,male,group C,bachelor's degree,free/reduced,none,single,sometimes,yes,1,school_bus,< 5,68,57,62
264,male,group A,associate's degree,standard,none,divorced,sometimes,yes,0,school_bus,< 5,95,79,75
265,female,group B,bachelor's degree,standard,completed,single,sometimes,yes,2,school_bus,< 5,62,83,81
266,female,group C,master's degree,standard,none,married,sometimes,yes,0,school_bus,> 10,74,82,85
267,female,group C,high school,standard,none,single,regularly,yes,2,school_bus,< 5,61,57,59
268,female,group B,master's degree,standard,none,single,sometimes,no,4,school_bus,> 10,75,79,80
269,male,group C,associate's degree,free/reduced,completed,married,sometimes,no,3,private,> 10,65,69,68
270,male,group C,associate's degree,standard,none,divorced,sometimes,no,3,school_bus,< 5,77,69,71
271,female,group D,associate's degree,standard,completed,single,never,yes,3,private,> 10,86,96,95
272,male,group E,High School,standard,completed,married,sometimes,yes,0,school_bus,> 10,78,68,68
273,male,group B,High School,free/reduced,none,married,regularly,yes,0,school_bus,> 10,38,39,37
274,female,group B,high school,free/reduced,none,single,never,yes,1,private,> 10,47,72,68
275,female,group D,associate's degree,free/reduced,none,divorced,sometimes,yes,1,school_bus,> 10,29,45,46
276,female,group C,High School,standard,completed,married,regularly,yes,0,school_bus,< 5,49,61,61
277,female,group C,bachelor's degree,standard,none,divorced,sometimes,no,1,private,< 5,70,74,73
278,female,group C,bachelor's degree,standard,none,divorced,regularly,yes,1,private,< 5,58,71,71
279,female,group C,associate's degree,standard,none,married,sometimes,yes,0,school_bus,< 5,56,69,62
280,female,group D,master's degree,standard,completed,married,sometimes,no,1,school_bus,> 10,65,85,95
281,male,group E,high school,free/reduced,none,married,sometimes,yes,2,school_bus,< 5,57,59,49
282,female,group C,bachelor's degree,standard,completed,married,never,yes,2,private,< 5,67,81,80
283,female,group C,bachelor's degree,standard,none,married,regularly,yes,1,school_bus,> 10,61,64,59
284,male,group D,bachelor's degree,standard,completed,single,sometimes,yes,4,school_bus,< 5,66,64,59
285,male,group C,master's degree,free/reduced,none,married,sometimes,yes,0,school_bus,> 10,65,67,75
286,male,group C,High School,standard,none,married,sometimes,no,3,school_bus,> 10,71,72,69
287,female,group C,bachelor's degree,free/reduced,none,married,regularly,yes,1,private,< 5,55,64,68
288,female,group D,bachelor's degree,standard,completed,married,sometimes,no,1,school_bus,> 10,70,88,94
289,female,group B,High School,standard,completed,divorced,never,yes,2,school_bus,> 10,77,91,92
290,female,group C,associate's degree,standard,completed,single,sometimes,yes,6,private,< 5,64,76,75
291,female,group B,bachelor's degree,free/reduced,none,married,sometimes,no,1,school_bus,< 5,55,65,61
292,female,group C,High School,free/reduced,none,married,regularly,yes,2,private,> 10,61,79,78
293,female,group E,high school,standard,none,married,sometimes,no,3,private,< 5,56,58,58
294,male,group C,associate's degree,free/reduced,completed,divorced,sometimes,no,3,private,< 5,76,80,73
295,male,group E,bachelor's degree,standard,completed,married,regularly,yes,1,school_bus,< 5,99,87,92
296,female,group D,associate's degree,free/reduced,none,widowed,sometimes,yes,2,school_bus,< 5,63,78,70
297,female,group B,High School,standard,completed,married,regularly,yes,0,private,< 5,61,73,71
298,male,group E,bachelor's degree,standard,none,married,sometimes,no,3,school_bus,< 5,72,65,62
299,male,group B,High School,free/reduced,completed,married,sometimes,yes,4,school_bus,< 5,54,63,53
300,female,group B,High School,standard,none,married,never,no,1,private,< 5,47,52,50
301,male,group E,bachelor's degree,standard,none,married,sometimes,no,4,school_bus,< 5,75,69,69
302,male,group E,master's degree,standard,completed,single,sometimes,no,2,school_bus,< 5,80,91,88
303,male,group A,high school,standard,none,divorced,sometimes,yes,1,private,< 5,67,63,53
304,male,group C,high school,standard,none,married,regularly,yes,3,school_bus,< 5,63,61,60
305,male,group B,bachelor's degree,standard,none,married,never,yes,4,school_bus,< 5,78,78,69
306,female,group D,bachelor's degree,free/reduced,none,married,regularly,yes,0,school_bus,< 5,51,70,71
307,male,group D,bachelor's degree,standard,completed,single,sometimes,yes,2,private,> 10,76,68,68
308,female,group B,master's degree,free/reduced,none,married,sometimes,yes,2,school_bus,> 10,55,68,74
309,female,group A,High School,free/reduced,none,married,regularly,yes,0,private,> 10,46,53,51
310,male,group D,bachelor's degree,free/reduced,none,single,sometimes,no,1,school_bus,< 5,82,74,83
311,female,group C,associate's degree,standard,none,divorced,sometimes,no,1,school_bus,< 5,81,94,95
312,female,group B,associate's degree,free/reduced,completed,single,never,yes,1,private,> 10,53,69,70
